id,created_at,anotador_id,idx,respuesta,comentario_prem,comentario_hyp,quiere_mas,region,feedback_formato,palabras_marcadas
31,2026-05-02 16:18:38.522269+00,e34cf881-10c8-4050-916f-00e239bb6239,44,parcialmente,"Premisa: Las comas no van ahi.. Quiero decir que ellos solo tenian algo asi como 5 hijos. Uno de ellos SE murió
Hipotesis: el niño que SE murio...",,,,,[]
32,2026-05-02 16:22:24.339001+00,e34cf881-10c8-4050-916f-00e239bb6239,49,no,"POR QUE SE LLAMA JOEEE???? Juan, Jose, Jorge, Javier, no JOE. Porche no tiene nadie aca, a lo sumo entrada, galeria, etc... ",,,,,[]
33,2026-05-02 16:26:18.349639+00,e34cf881-10c8-4050-916f-00e239bb6239,183,no,"En Premisa: Pone ciudades Argentinas. que es TX. Repito, que es Laughlin Air Force? Esta rara la oracion. No tiene cohesion. Yo hubiese puesto: Habia recibido ordenes para ir a (Ciudad ARGENTINA), pero cuando llegue AHI me entere de que que tenia que irme a (lugar o base en ARGENTINA) En Hipotesis: Me MANDARON, no enviaron y cambiar la ciudad.",,,,,[]
34,2026-05-02 16:26:28.318727+00,e34cf881-10c8-4050-916f-00e239bb6239,464,si,"La hipotesis esta en neutro. El perro ERA de mi hermana, o la dueña del perro es mi hermana, no usamos le pertenecia",,,,,[]
35,2026-05-02 16:38:26.659752+00,e34cf881-10c8-4050-916f-00e239bb6239,535,si,,,,,,[]
36,2026-05-02 16:40:43.595558+00,e34cf881-10c8-4050-916f-00e239bb6239,596,si,,,,,,[]
37,2026-05-02 16:41:04.077744+00,e34cf881-10c8-4050-916f-00e239bb6239,603,no,"alli cambiar por ahi o alla. Hija mas chica o chiquita, pequeña es neutro",,,,,[]
38,2026-05-02 16:54:27.38706+00,e34cf881-10c8-4050-916f-00e239bb6239,569,parcialmente,"Que tipo de perrito, perro joven suena raro",,,,,[]
39,2026-05-02 16:55:40.309591+00,e34cf881-10c8-4050-916f-00e239bb6239,614,no,"cambiar recuerdo a por me acuerdo de. Cambiar recoger las por levantar
cambiar casa de mi padre por a la casa de mi papa",,,,,[]
40,2026-05-02 16:57:30.349433+00,e34cf881-10c8-4050-916f-00e239bb6239,671,parcialmente,cambiar parecia molestarme por me molesto,,,,,[]
41,2026-05-02 16:58:55.675481+00,e34cf881-10c8-4050-916f-00e239bb6239,702,si,,,,,,[]
42,2026-05-02 17:02:14.492907+00,e34cf881-10c8-4050-916f-00e239bb6239,801,no,"Cambiar oh dios por una frase mas argentina: Uy no, mierda, pucha che, carajo, incluso uy dios. Acaba, no acabo. esta mal traducida la hipotesis. Pone la Constitucion Nacional, que me importa a mi el parlamento de la paz.",,,,,[]
43,2026-05-02 17:03:43.370617+00,e34cf881-10c8-4050-916f-00e239bb6239,856,parcialmente,"a 100 km no 100 millas. Al este de algun lugar argentino, no Texas, Saladillo, Tandil, Venado Tuerto, Metan, Santa Rosa, etc...",,,,,[]
44,2026-05-02 17:06:27.055125+00,e34cf881-10c8-4050-916f-00e239bb6239,917,si,,,,,,[]
45,2026-05-02 17:08:53.719947+00,e34cf881-10c8-4050-916f-00e239bb6239,956,parcialmente,"Usar Valentina y el corte es valen. ",,,,,[]
46,2026-05-02 17:09:41.234875+00,e34cf881-10c8-4050-916f-00e239bb6239,971,parcialmente,"Cambia Texas INSTRUMENTS, inventa una empresa con la ciudad de Tres Arroyos.",,,,,[]
