id,created_at,anotador_id,idx,respuesta,comentario_prem,comentario_hyp,quiere_mas,region,feedback_formato,palabras_marcadas
1,2026-05-15 12:01:55.343982+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,5,5,,,true,buenos_aires_amba,,[]
2,2026-05-15 12:02:04.421545+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,28,5,,,true,buenos_aires_amba,,[]
3,2026-05-15 12:02:17.996204+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,29,5,,,true,buenos_aires_amba,,[]
4,2026-05-15 12:03:11.78854+00,82be7025-65b3-4d6e-8ef5-8ce2496b349e,32,4,,,true,buenos_aires_amba,,[]
5,2026-05-15 12:03:53.119711+00,82be7025-65b3-4d6e-8ef5-8ce2496b349e,55,3,,,true,buenos_aires_amba,,"[{""pos"":13,""source"":""prem"",""palabra"":""estadounidenses."",""reemplazo"":""argentinas""}]"
6,2026-05-15 12:04:48.634687+00,82be7025-65b3-4d6e-8ef5-8ce2496b349e,60,5,,,true,buenos_aires_amba,,[]
7,2026-05-15 12:41:21.949962+00,e98c92d8-fd86-41ce-9173-0ab36b9d36dc,566,3,,,true,buenos_aires_amba,,[]
8,2026-05-15 12:41:29.678872+00,e98c92d8-fd86-41ce-9173-0ab36b9d36dc,570,5,,,true,buenos_aires_amba,,[]
9,2026-05-15 12:42:15.877433+00,e98c92d8-fd86-41ce-9173-0ab36b9d36dc,580,5,,,true,buenos_aires_amba,,[]
10,2026-05-15 12:44:10.962407+00,e98c92d8-fd86-41ce-9173-0ab36b9d36dc,590,,,,,,,"[{""pos"":17,""source"":""prem"",""palabra"":""profesional.""}]"
11,2026-05-15 13:40:21.649802+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,602,3,,,true,buenos_aires_amba,,[]
12,2026-05-15 13:40:48.771575+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,615,5,,,true,buenos_aires_amba,,[]
13,2026-05-15 13:41:10.438374+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,618,4,,,true,buenos_aires_amba,,[]
14,2026-05-15 13:42:58.79277+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,631,4,,,true,buenos_aires_amba,,"[{""pos"":4,""source"":""hyp"",""palabra"":""Point.""},{""pos"":3,""source"":""hyp"",""palabra"":""Wills""}]"
15,2026-05-15 13:44:27.251518+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,633,5,,,true,buenos_aires_amba,,[]
16,2026-05-15 13:44:28.449062+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,636,5,,,true,buenos_aires_amba,,[]
17,2026-05-15 13:44:29.909371+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,687,5,,,true,buenos_aires_amba,,[]
18,2026-05-15 13:44:31.105073+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,703,5,,,true,buenos_aires_amba,,[]
19,2026-05-15 13:44:33.037234+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,715,5,,,true,buenos_aires_amba,,[]
20,2026-05-15 13:44:34.492577+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,751,5,,,true,buenos_aires_amba,,[]
21,2026-05-15 13:44:36.103615+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,768,5,,,true,buenos_aires_amba,,[]
22,2026-05-15 13:44:37.648301+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,770,5,,,true,buenos_aires_amba,,[]
23,2026-05-15 13:44:39.485347+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,780,5,,,true,buenos_aires_amba,,[]
24,2026-05-15 13:44:41.544536+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,800,5,,,true,buenos_aires_amba,,[]
25,2026-05-15 13:44:43.245322+00,93c1520e-81ff-4fd3-8f27-0340e662c7ba,812,5,,,true,buenos_aires_amba,,[]
26,2026-05-18 18:42:07.448462+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,912,5,,,true,buenos_aires_amba,,[]
27,2026-05-18 18:42:29.049349+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,930,5,,,true,buenos_aires_amba,,[]
28,2026-05-18 18:42:44.168374+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,947,5,,,true,buenos_aires_amba,,[]
29,2026-05-18 18:43:45.816128+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,965,3,En la primer frase se repite USTED,,true,buenos_aires_amba,,[]
