idx,prem,hyp,batch_name,uploaded_at,source_file
0,"Bien, ni estaba pensando en eso, pero estaba tan frustrada y empecé a hablar con él de nuevo.",No he vuelto a hablar con él.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
1,"Bien, ni estaba pensando en eso, pero estaba tan frustrada y empecé a hablar con él de nuevo.",Estaba tan molesto que empecé a hablar con él de nuevo.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
2,"Bien, ni estaba pensando en eso, pero estaba tan frustrada y empecé a hablar con él de nuevo.",Tuvimos una gran charla.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
3,"Y pensé que era un privilegio, y todavía es, todavía es, yo era el único 922 Ex-O que estaba en mi campo de carrera AFFC de la Fuerza Aérea.",No sabía que no era la única persona en el campo ese día.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
4,"Y pensé que era un privilegio, y todavía es, todavía es, yo era el único 922 Ex-O que estaba en mi campo de carrera AFFC de la Fuerza Aérea.",Tenía la impresión de que era el único con ese número en el campo de carrera AFFC de la Fuerza Aérea.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
5,"Y pensé que era un privilegio, y todavía es, todavía es, yo era el único 922 Ex-O que estaba en mi campo de carrera AFFC de la Fuerza Aérea.","A todos nos dieron el mismo número exacto, sin importar los privilegios que nos prometieron que se nos concedieran, todo era una mentira.",xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
6,"Me dijeron que, este... que un tipo me llamaría al final para vernos.",Nunca me dijeron nada sobre conocer a alguien.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
7,"Me dijeron que, este... que un tipo me llamaría al final para vernos.",Me dijeron que llamarían a un tipo para que me conociera.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
8,"Me dijeron que, este... que un tipo me llamaría al final para vernos.",El tipo apareció un poco tarde.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
9,"Hay tanto que se puede decir sobre eso, que sencillamente me voy a saltar eso.",¡Quiero contarte todo lo que sé sobre eso!,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
10,"Hay tanto que se puede decir sobre eso, que sencillamente me voy a saltar eso.","No hablaré de eso, aunque hay mucho que cubrir.",xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
11,"Hay tanto que se puede decir sobre eso, que sencillamente me voy a saltar eso.",No hablaré sobre la historia de la ciudad porque hay mucho que decir.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
12,"Eso es era lo más importante que queríamos salvar, ya que no había forma de lanzar una bomba hidrógena desde un 30, un C124.",No nos importó guardar nada.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
13,"Eso es era lo más importante que queríamos salvar, ya que no había forma de lanzar una bomba hidrógena desde unos 30, un C124.",Queríamos salvar una cosa más que el resto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
14,"Eso es era lo más importante que queríamos salvar, ya que no había forma de lanzar una bomba hidrógena de 20 megatones desde unos 30, un C124.",Queríamos salvar la bomba-H porque era muy difícil de manejar.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
15,Así que no tengo muy claro por qué.,Estoy seguro de la razón por la cual.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
16,Así que no tengo muy claro por qué.,No sé por qué él transfirió las escuelas.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
17,Así que no tengo muy claro por qué.,No sé por qué sucedió eso.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
