idx,label,label_int,prem_en,hyp_en,prem_es,hyp_es,prem_rp,hyp_rp,type,changes,lev_prem,lev_hyp,lev_total,note
1522,neutral,1,"I owed it to you--or thought I did,  he said.",He owed you for the help you gave him as a penniless beggar.,"Te lo debía, o así lo creí, dijo él.",Te lo debe por la ayuda que le proporcionaste cuando no tenía un duro.,"Te lo debía, o así lo creí, dijo él.",Te lo debe por la ayuda que le proporcionaste cuando no tenía un mango.,B,no tenía un duro → no tenía un mango (modismo ES peninsular → RP),0,4,4,'Un duro' es marcador peninsular fuerte; 'un mango' es la equivalencia rioplatense.
4957,entailment,0,One difference is that other groups need to do so because in order to function they must either attach new meanings to existing words and phrases or coin new words and pharases.,Some groups need make up new words.,Una diferencia es que otros grupos necesitan hacerlo porque para funcionar deben asignar nuevos significados a las palabras y frases existentes o acuñar nuevas palabras y frases.,Algunos grupos necesitan inventar nuevas palabras.,Una diferencia es que otros grupos necesitan hacerlo porque para funcionar deben asignar nuevos significados a las palabras y frases existentes o acuñar nuevas palabras y frases.,Algunos grupos necesitan inventar nuevas palabras.,A,,0,0,0,Registro estándar; sin marcadores peninsulares ni necesidad de voseo.
463,contradiction,2,I told them my sister's.,I said it was mine.,Les dije que era de mi hermana.,Dije que era mío.,Les dije que era de mi hermana.,Dije que era mío.,A,,0,0,0,Pretérito 1ª persona; coincide en ES estándar y RP.
3484,neutral,1,KSM may have instructed Binalshibh to send money to Moussaoui in order to help prepare Moussaoui as a potential substitute pilot for Jarrah.,KSM told Binalshibh what to do because he was the head of the whole organization.,KSM puede haber ordenado a Binalshibh que envíe dinero a Moussaoui para ayudar a preparar a Moussaoui como potencial piloto sustituto de Jarrah.,KSM le dijo a Binalshibh qué hacer porque era el jefe de toda la organización.,KSM puede haber ordenado a Binalshibh que envíe dinero a Moussaoui para ayudar a preparar a Moussaoui como potencial piloto sustituto de Jarrah.,KSM le dijo a Binalshibh qué hacer porque era el jefe de toda la organización.,A,,0,0,0,Tercera persona; sin marcadores dialectales.
2692,neutral,1,"The concept of the teachable moment, although only a conceptualization at this time, provides part of the seminal interest in doing alcohol interventions in the ED.",There is some reason to do an alcohol intervention in the emergency room while the patient is still drunk.,"El concepto de los momentos de enseñanza aunque en este momento sea solo una conceptualización, proporciona parte del interés fundamental de hacer intervenciones de alcohol en ED.",Hay alguna razón para realizar una intervención de alcohol en la sala de emergencias mientras el paciente aún está ebrio.,"El concepto de los momentos de enseñanza aunque en este momento sea solo una conceptualización, proporciona parte del interés fundamental de hacer intervenciones de alcohol en ED.",Hay alguna razón para realizar una intervención de alcohol en la sala de emergencias mientras el paciente aún está ebrio.,A,,0,0,0,"'ED' (emergency department) sin traducir en prem es un defecto del ES original, no dialectal."
1710,neutral,1,I... I had not dreamed....,I did not dream last Friday.,Yo ... no había soñado ...,No soñé el viernes pasado.,Yo ... no había soñado ...,No soñé el viernes pasado.,A,,0,0,0,El 'Yo' inicial replica la repetición ('I... I') del original como marca de hesitación; se conserva.
2366,entailment,0,It is operated by simply lifting two planks of wood by hand,Two planks get lifted.,Funciona simplemente levantando dos tablas de madera a mano.,Dos tablones se levantan.,Funciona simplemente levantando dos tablas de madera a mano.,Dos tablones se levantan.,A,,0,0,0,Sin marcadores.
1015,neutral,1,"And there is, I think, a molecular clue that the biosphere is persistently coconstructing itself in the survivable regime for a propagating set of lineages.",The biosphere changes according to the temperature.,"Y existe, creo, una pista molecular de que la biosfera se construye a sí misma de forma persistente en el régimen superviviente para un grupo de propagación de linajes.",La biosfera cambia según la temperatura.,"Y existe, creo, una pista molecular de que la biosfera se construye a sí misma de forma persistente en el régimen superviviente para un grupo de propagación de linajes.",La biosfera cambia según la temperatura.,A,,0,0,0,Registro científico estándar; sin marcadores.
1453,contradiction,2,"The pieata is hung from a tree, with a long rope that is manipulated by an adult, who is able to move the pieata up and down, so it won't be broken too quickly.",The piata lays on the ground.,"La pieta se cuelga de un árbol, con una cuerda larga que es manipulada por un adulto, que puede mover la pieta hacia arriba y hacia abajo para que no se rompa demasiado rápido.",La piata yace en el suelo.,"La piñata se cuelga de un árbol, con una cuerda larga que es manipulada por un adulto, que puede mover la piñata hacia arriba y hacia abajo para que no se rompa demasiado rápido.",La piñata yace en el suelo.,D,pieta/piata → piñata (corrección de transcripción defectuosa del ES),4,1,5,El ES traduce mal 'piñata' como 'pieta'/'piata'. La contradicción se preserva al unificar a 'piñata'.
1095,neutral,1,"As noted in the previous chapter, there must be some interplay in the entry into the adjacent possible that gates the exploration by the capacity of natural selection to trim away the losers.",Natural selection always happens.,"Como se observó en el capítulo anterior, debe haber algo de interacción en la entrada al posible adyacente que abre la exploración por la capacidad de la selección natural para quitar a los perdedores.",La selección natural siempre sucede.,"Como se observó en el capítulo anterior, debe haber algo de interacción en la entrada al posible adyacente que abre la exploración por la capacidad de la selección natural para quitar a los perdedores.",La selección natural siempre sucede.,A,,0,0,0,'Sucede' funciona en RP en registro científico; cambiar a 'pasa' bajaría el registro.
2207,entailment,0,"The outrageous and conservative, one learns, coexist here without much fuss.",People get along well.,"El escandaloso y el conservador, se puede ver, coexisten aquí sin mucho alboroto.",La gente se lleva bien.,"El escandaloso y el conservador, se puede ver, coexisten aquí sin mucho alboroto.",La gente se lleva bien.,A,,0,0,0,'Alboroto' es panhispánico.
1857,contradiction,2,"It's our only chance, I've said, and we must take it.   The better way that was in Captain Blood's mind was the way that already he had proposed to Wolverstone.",Captain Blood had never spoken to Wolverstone before.,"Es nuestra única oportunidad, dije, y tenemos que tomarla. La mejor solución que tenía en mente el Capitán Blood era la que ya le había propuesto a Wolverstone.",El Capitán Blood nunca había hablado con Wolverstone antes.,"Es nuestra única oportunidad, dije, y tenemos que tomarla. La mejor solución que tenía en mente el Capitán Blood era la que ya le había propuesto a Wolverstone.",El Capitán Blood nunca había hablado con Wolverstone antes.,A,,0,0,0,Tercera persona narrativa; 'tomar' (no 'coger') ya está en uso panhispánico.
3577,contradiction,2,"Our Civil Practice Clinic has operated for several years, and we recently added a Criminal Defense Clinic.",Our Civil Practice Clinic is celebrating its first full year in operation next month.,"Nuestro Despacho de Práctica Civil lleva funcionando varios años, y hace poco hemos añadido un Despacho de Defensa Delictiva",Nuestra Clínica de Práctica Civil está celebrando su primer año el  próximo mes.,"Nuestro Despacho de Práctica Civil lleva funcionando varios años, y hace poco añadimos un Despacho de Defensa Delictiva",Nuestra Clínica de Práctica Civil está celebrando su primer año el  próximo mes.,B,hemos añadido → añadimos (PPC peninsular → pretérito simple RP),8,0,8,"Cambio de pretérito perfecto compuesto a simple, marcador típico RP en pasados recientes."
4040,contradiction,2,"Once home, I learned the United States cuts off supplies in two ways.",I learned the United States cuts off supplies in two ways before coming home.,"Una vez en casa, aprendí que los Estados Unidos cortan los suministros de dos formas.",Antes de volver a casa aprendí que  Estados Unidos corta suministros de dos maneras.,"Una vez en casa, aprendí que los Estados Unidos cortan los suministros de dos formas.",Antes de volver a casa aprendí que  Estados Unidos corta suministros de dos maneras.,A,,0,0,0,Ambas variantes ('los Estados Unidos' plural / 'Estados Unidos' singular) coexisten en RP.
3314,neutral,1,Congressional oversight for intelligence-and counterterrorism-is now dysfunctional.,Congressional oversight for intelligence-and counterterrorism once worked effectively.,La supervisión por parte del Congreso en inteligencia y lucha contra el terrorismo ahora presenta deficiencias.,La supervisión del Congreso de la inteligencia y el contraterrorismo antes funcionaban con eficacia.,La supervisión por parte del Congreso en inteligencia y lucha contra el terrorismo ahora presenta deficiencias.,La supervisión del Congreso de la inteligencia y el contraterrorismo antes funcionaban con eficacia.,A,,0,0,0,Registro institucional estándar.
1166,contradiction,2,The others do not make the consumer happy enough.,The others are sufficient.,Los otros no hacen que el consumidor sea lo suficientemente feliz.,Los otros son suficientes.,Los otros no hacen que el consumidor sea lo suficientemente feliz.,Los otros son suficientes.,A,,0,0,0,Sin marcadores.
3592,entailment,0,My love affair with the IRT is a long one.,I find the IRT favorable.,Mi aventura con la IRT es una larga.,Me parece que el IRT es favorable.,Mi aventura con la IRT es una larga.,Me parece que el IRT es favorable.,A,,0,0,0,El género oscilante de IRT (la/el) ya es defecto del ES; se preserva.
1638,entailment,0,"In my own I've done nothing at all that I am ashamed of, considering the provocation I received.   Her glance faltered, and fell away before his own that was so intent.","I'm not ashamed of anything that I've done, considering the provocation I've received.","En lo mío no he hecho nada de lo que me avergüence, teniendo en cuenta la provocación que recibí. Su mirada vaciló, y cayó antes que la suya tan intensa.","No me avergüenzo de nada de lo que he hecho, teniendo en cuenta la provocación que he recibido.","En lo mío no hice nada de lo que me avergüence, teniendo en cuenta la provocación que recibí. Su mirada vaciló, y cayó antes que la suya tan intensa.","No me avergüenzo de nada de lo que hice, teniendo en cuenta la provocación que recibí.",B,no he hecho → no hice (PPC → pretérito simple RP) | lo que he hecho → lo que hice (PPC → pretérito simple RP) | he recibido → recibí (PPC → pretérito simple RP),6,12,18,PPC peninsular para acción puntual concluida; RP prefiere pretérito simple.
1399,entailment,0,"Indeed, Bios Group is involved in inventing and making them.",Bios Group is contributing to their production.,"De hecho, Bios Group está involucrado en inventarlos y fabricarlos.",Bios Group contribuye a su producción.,"De hecho, Bios Group está involucrado en inventarlos y fabricarlos.",Bios Group contribuye a su producción.,A,,0,0,0,Sin marcadores.
2294,neutral,1,Plans to house parliament here after Independence came to nothing,The Parliament was strongly considered for this location.,Los planes de ubicar aquí el Parlamento tras la independencia no llegaron a nada.,El Parlamento fue fuertemente considerado para esta ubicación.,Los planes de ubicar aquí el Parlamento tras la independencia no llegaron a nada.,El Parlamento fue fuertemente considerado para esta ubicación.,A,,0,0,0,Sin marcadores.
219,contradiction,2,"So anyhow, I think I spoke to Ramona again.",I have never talked to Ramona.,"Entonces, pienso que hablaré con Ramona de nuevo.",Nunca he hablado con Ramona.,"Entonces, pienso que hablaré con Ramona de nuevo.",Nunca he hablado con Ramona.,A,,0,0,0,PPC con 'nunca' es aceptable en RP (lectura experiencial); no se modifica.
3741,neutral,1,It is time for the proverbial LAST CALL!,It's time for last call because we're closing at 2 a.m.,¡Es hora de la famosa ÚLTIMA LLAMADA!,Es hora de la última llamada porque cerramos a las 2 a. m.,¡Es hora de la famosa ÚLTIMA LLAMADA!,Es hora de la última llamada porque cerramos a las 2 a. m.,A,,0,0,0,'Última llamada' es la traducción consensuada panhispánica de 'last call'.
1630,neutral,1,I shall always be grateful.,I am so happy and grateful for what you have done today.,Siempre estaré agradecido.,Estoy realmente feliz y agradecido por lo que has hecho hoy.,Siempre estaré agradecido.,Estoy realmente feliz y agradecido por lo que hiciste hoy.,B,has hecho → hiciste (PPC → pretérito simple RP),0,8,8,Acción concluida y reciente; RP prefiere pretérito simple.
4980,contradiction,2,"Caller says,  Thank you for taking my call.",No one answered the caller.,La persona que llama dice: Gracias por atender mi llamada.,Nadie respondió a la persona que llamó.,La persona que llama dice: Gracias por atender mi llamada.,Nadie respondió a la persona que llamó.,A,,0,0,0,Sin marcadores.
2142,contradiction,2,"If you've become an adept of the tea ceremony, you'll appreciate the excellent collection of 14th-century  ceramic tea bowls, tea kettles, and caddies, as well as bamboo spoons, whisks, and flower vases.",The tea kettles are ugly and it's so boring to learn about them.,"Si te has convertido en un adepto de la ceremonia del té, apreciarás la excelente colección de cuencos de cerámica del siglo XIV, teteras y cajas para el té, así como cucharas de bambú, batidores y floreros.",Las teteras son feas y es muy aburrido aprender sobre ellas.,"Si te has convertido en un adepto de la ceremonia del té, apreciarás la excelente colección de cuencos de cerámica del siglo XIV, teteras y cajas para el té, así como cucharas de bambú, batidores y floreros.",Las teteras son feas y es muy aburrido aprender sobre ellas.,A,,0,0,0,Las formas perfectas con 'haber' y el futuro 'apreciarás' son idénticas en tuteo y voseo.
1176,neutral,1,"Taking the  privileges and immunities  of citizens as the pivotal value of the new order, as Black does, creates its own problems of equality under law.",Citizens can have their privileges taken by the government.,"Tomar los privilegios e inmunidades de los ciudadanos como el valor central del nuevo orden, como lo hace Black, crea sus propios problemas de igualdad bajo la ley.",El Gobierno puede arrebatar privilegios a los ciudadanos.,"Tomar los privilegios e inmunidades de los ciudadanos como el valor central del nuevo orden, como lo hace Black, crea sus propios problemas de igualdad bajo la ley.",El Gobierno puede arrebatar privilegios a los ciudadanos.,A,,0,0,0,Sin marcadores.
1804,entailment,0,"But many could not resolve one way or the other until they were satisfied upon several questions, and chiefly upon one which was voiced by Ogle.","Ogle had many concerns, of which had yet to be satiated.","Pero muchos no pudieron resolver de una u otra forma hasta que estuvieron satisfechos tras varias preguntas, y sobre todo después de una hecha por Ogle.","Ogle tenía muchas preocupaciones, de las cuales todavía se tenía que saciar.","Pero muchos no pudieron resolver de una u otra forma hasta que estuvieron satisfechos tras varias preguntas, y sobre todo después de una hecha por Ogle.","Ogle tenía muchas preocupaciones, de las cuales todavía se tenía que saciar.",A,,0,0,0,Sin marcadores.
910,contradiction,2,well nice talking to you thanks a lot bye bye,I dont want to talk to you eve again.,"ha sido un placer hablar contigo, muchas gracias, adiós",No quiero volver a hablar contigo.,"fue un placer hablar con vos, muchas gracias, adiós",No quiero volver a hablar con vos.,C,contigo → con vos (pronombre tuteo → voseo) | ha sido → fue (PPC → pretérito simple RP),11,4,15,'Contigo' es marcador inequívoco de tuteo; en voseo se reemplaza por 'con vos'.
4680,neutral,1,Some of the book's lexical entries are questionable.,The book's confusing lexical choices made the content confusing.,Algunas de las entradas léxicas del libro son cuestionables.,Las confusas elecciones léxicas del libro hicieron el contenido confuso.,Algunas de las entradas léxicas del libro son cuestionables.,Las confusas elecciones léxicas del libro hicieron el contenido confuso.,A,,0,0,0,Sin marcadores.
2821,entailment,0,"Besides LNL and Allenbrand-Drews, the suit names as defendants Gary Allenbrand and Loren Drews, principals of Allenbrand-Drews; and developers or contractors R.L.",Allenbrand and Drews are getting sued.,"Además de LNL y Allenbrand-Drews, se nombra como defensores Gary Allenbrand y Loren Drews, directores de Allenbrand-Drews; y desarrolladores o contratistas R.L.",Allenbrand y Drews están siendo demandados.,"Además de LNL y Allenbrand-Drews, se nombra como demandados a Gary Allenbrand y Loren Drews, directores de Allenbrand-Drews; y desarrolladores o contratistas R.L.",Allenbrand y Drews están siendo demandados.,D,"defensores → demandados (corrección de error de traducción: 'defendants' = 'demandados', no 'defensores')",8,0,8,El ES traduce mal 'defendants' como 'defensores' (defenders); la corrección preserva el entailment.
